Google ID,SharePoint Path
1FeueiS3aXyYdtrDOr6yEryIhq-8bmVEq,/sites/Etabeta-ERP/Shared Documents/Deals/BikeBoom - Pre-seed
1PnePgKPqhhAZ0BcObtxs2lErpJgV4sy4,/sites/Etabeta-ERP/Shared Documents/Deals/PsycApps - product is eQuoo
1cu0QUY48BmVaFB_JqDv47QIhYDOn48QA,/sites/Etabeta-ERP/Shared Documents/Deals/Readyfied - seed
1hn2FgfnT5rCn-xRhyUG8pMpqNcfQlAHa,/sites/Etabeta-ERP/Shared Documents/Deals/Smart Trading Software LTD - seed
1GJ-s9N02lLzpFFKaOjrqkZb0K3n73CvF,/sites/Etabeta-ERP/Shared Documents/Deals/ONIC - seed
1mifvBaN7xt8M1tXjjUQdScX7_VgNxKPb,/sites/Etabeta-ERP/Shared Documents/Deals/ZaViedeza - series A
1lvfUCcWQgVsmqyuGllNpyIkbUbKY2BAM,/sites/Etabeta-ERP/Shared Documents/Deals/Fetherstill Automotive - seed
13kPDPvPSVmdRUmukHmVC-jBJ4kNZexCJ,/sites/Etabeta-ERP/Shared Documents/Deals/Todos Technologies - Series A
1BYQvIaoOMBWLP0yrO3MgVer70gXt27Gj,/sites/Etabeta-ERP/Shared Documents/Deals/D5149
1DzN__IQ-Slt13Ual7LsRsrCkm3G3WvFF,/sites/Etabeta-ERP/Shared Documents/Deals/D5197
1i7YyrMNZJbXRNDvi51hOBZvri9QpGfMV,/sites/Etabeta-ERP/Shared Documents/Deals/Augmentus - Series A
176630PhI5z7eLg8iZVyPSJWRpBqj-Yi4,/sites/Etabeta-ERP/Shared Documents/Deals/Indaco App - seed
1JF8VSXv0gbQVdz5uPEd3cLJUYjP4YLVJ,/sites/Etabeta-ERP/Shared Documents/Deals/Enty - seed
1Q7HS6-fzPRlaU9NqbVyckUzuU4RYq-tZ,/sites/Etabeta-ERP/Shared Documents/Deals/FinStrat Management - seed
16jetV_VmrG0JbSOy8vUohUFhx0tRaS8-,/sites/Etabeta-ERP/Shared Documents/Deals/Grayscale AI - Pre.seed
1AcHldNwAmRwg2fdJ8Qn75ttewOSI-PTl,/sites/Etabeta-ERP/Shared Documents/Deals/AICUBE Srl
1QdwncK8GmtariCHCgow4r5AbxlI1OjGR,/sites/Etabeta-ERP/Shared Documents/Deals/Futura Ai - seed
1o6dZiVHQcJ-zYc3IGTdqnBEq5kvIV9VT,/sites/Etabeta-ERP/Shared Documents/Deals/CR8 (create)
165pLOX5JjDQfIZVZA9fy9Z4SVCi05qG9,/sites/Etabeta-ERP/Shared Documents/Deals/Dtectio - series A
1BWSG37y4eWXuhCo2ch9WFrzNgEJ2fILe,/sites/Etabeta-ERP/Shared Documents/Deals/test inbox deal
12-n5tsQLxGn9KStaHnSA3gjqjW8ufPZm,/sites/Etabeta-ERP/Shared Documents/Deals/Getfy - seed
17WnCd6gdOcrvxHDA1TV2ckvrRjxvEbE-,/sites/Etabeta-ERP/Shared Documents/Deals/Evenfi - seed
